id,game_id,enable,name,type,ip,url,password,capacity,description,created,updated
1,30,0,The Gauntlet,Game,27.173.141.18,,password,20,Fraggin n Baggin,2022-04-10 18:30:00,2022-04-10 18:30:00
2,29,1,Hotel California,Game,4.54.226.200,,password,10,Fraggin n Baggin,2022-04-11 18:30:00,2022-04-11 18:30:00
3,28,1,Bert n Ernies,Game,229.94.139.57,,password,10,Fraggin n Baggin,2022-04-12 18:30:00,2022-04-12 18:30:00
4,27,1,Wildgoose Catch,Game,25.183.48.56,,password,15,Fraggin n Baggin,2022-04-13 18:30:00,2022-04-13 18:30:00
5,26,1,Delyrium,Game,76.226.51.1,,password,60,Fraggin n Baggin,2022-04-14 18:30:00,2022-04-14 18:30:00
6,25,0,Alpha Beta Kappa,Game,40.233.236.63,,password,25,Fraggin n Baggin,2022-04-15 18:30:00,2022-04-15 18:30:00
7,24,0,4tehsquad,Game,22.168.94.162,,password,30,Fraggin n Baggin,2022-04-16 18:30:00,2022-04-16 18:30:00
8,23,0,Ninjas in Pajamas,Game,71.13.26.156,,password,10,Fraggin n Baggin,2022-04-17 18:30:00,2022-04-17 18:30:00
9,22,0,Red Pill ,Game,174.105.166.236,,password,30,Fraggin n Baggin,2022-04-18 18:30:00,2022-04-18 18:30:00
10,21,1,Vader's Parlor,Game,134.246.85.185,,password,40,Fraggin n Baggin,2022-04-19 18:30:00,2022-04-19 18:30:00
11,20,1,Requiem for a Server,Game,159.5.149.24,,password,30,Fraggin n Baggin,2022-04-20 18:30:00,2022-04-20 18:30:00
12,19,0,kEybOaRd WaRriOrs,Game,55.131.45.90,,password,10,Fraggin n Baggin,2022-04-21 18:30:00,2022-04-21 18:30:00
13,18,1,Mouserat ,Game,54.90.250.117,,password,25,Fraggin n Baggin,2022-04-22 18:30:00,2022-04-22 18:30:00
14,17,0,GL HF,Game,57.83.89.111,,password,35,Fraggin n Baggin,2022-04-23 18:30:00,2022-04-23 18:30:00
15,16,0,Ghostface Clickah,Game,69.169.101.50,,password,60,Fraggin n Baggin,2022-04-24 18:30:00,2022-04-24 18:30:00
16,15,1,Shift Noir,Voice,,https://discord.gg/JvH2mvfJ,password,55,Talk n Baulk,2022-04-25 18:30:00,2022-04-25 18:30:00
17,14,1,Solar Sailers,Voice,,https://discord.gg/JvH2mvfJ,password,50,Talk n Baulk,2022-04-26 18:30:00,2022-04-26 18:30:00
18,13,1,Optimistic Nihilism,Voice,,https://discord.gg/JvH2mvfJ,password,30,Talk n Baulk,2022-04-27 18:30:00,2022-04-27 18:30:00
19,12,0,Fresh Air,Voice,,https://discord.gg/JvH2mvfJ,password,40,Talk n Baulk,2022-04-28 18:30:00,2022-04-28 18:30:00
20,11,0,Take Me Back,Voice,,https://discord.gg/JvH2mvfJ,password,25,Talk n Baulk,2022-04-29 18:30:00,2022-04-29 18:30:00
21,10,1,Approaching Dusk,Voice,,https://discord.gg/JvH2mvfJ,password,20,Talk n Baulk,2022-04-30 18:30:00,2022-04-30 18:30:00
22,9,1,Riverline,Voice,,https://discord.gg/JvH2mvfJ,password,10,Talk n Baulk,2022-05-01 18:30:00,2022-05-01 18:30:00
23,8,0,Finding Atlantis,Voice,,https://discord.gg/JvH2mvfJ,password,35,Talk n Baulk,2022-05-02 18:30:00,2022-05-02 18:30:00
24,7,0,Nineteen Eighty 4,Voice,,https://discord.gg/JvH2mvfJ,password,45,Talk n Baulk,2022-05-03 18:30:00,2022-05-03 18:30:00
25,6,0,Iridescence,Voice,,https://discord.gg/JvH2mvfJ,password,50,Talk n Baulk,2022-05-04 18:30:00,2022-05-04 18:30:00
26,5,0,Ayn Random,Voice,,https://discord.gg/JvH2mvfJ,password,55,Talk n Baulk,2022-05-05 18:30:00,2022-05-05 18:30:00
27,4,1,Juan Lock's Alcove,Voice,,https://discord.gg/JvH2mvfJ,password,20,Talk n Baulk,2022-05-06 18:30:00,2022-05-06 18:30:00
28,3,0,Atlas Winced,Voice,,https://discord.gg/JvH2mvfJ,password,30,Talk n Baulk,2022-05-07 18:30:00,2022-05-07 18:30:00
29,2,1,Skelington's Revenge,Voice,,https://discord.gg/JvH2mvfJ,password,35,Talk n Baulk,2022-05-08 18:30:00,2022-05-08 18:30:00
30,1,1,Masters of the Youtubeverse,Voice,,https://discord.gg/JvH2mvfJ,password,15,Talk n Baulk,2022-05-09 18:30:00,2022-05-09 18:30:00
