id,abbreviation,offset,locale,description
1,A,1,Military,Alpha Time Zone
2,ACDT,10.5,Australia,"Australian Central Daylight Time, CDT - Central Daylight Time, CDST - Central Daylight Savings Time"
3,ACST,9,Australia,"Australian Central Standard Time, CST - Central Standard Time"
4,ACT,-5,South America,Acre Time
5,ACT,9.5,Australia,Australian Central Time
6,ACWST,8.75,Australia,Australian Central Western Standard Time
7,ADT,4,Asia,"Arabia Daylight Time, AST - Arabia Summer Time"
8,ADT,-3,"North America, Atlantic","Atlantic Daylight Time, ADST - Atlantic Daylight Saving Time, AST - Atlantic Summer Time, HAA - Heure Avancee de l'Atlantique (French)"
9,AEDT,11,Australia,"Australian Eastern Daylight Time, EDT - Eastern Daylight Time, EDST - Eastern Daylight Saving Time"
10,AEST,10,Australia,"Australian Eastern Standard Time, EST - Eastern Standard Time, AET - Australian Eastern Time"
11,AET,10,Australia,Australian Eastern Time
12,AFT,4.5,Asia,Afghanistan Time
13,AKDT,-8,North America,"Alaska Daylight Time, ADST - Alaska Daylight Saving Time"
14,AKST,-9,North America,"Alaska Standard Time, AT - Alaska Time"
15,ALMT,6,Asia,Alma-Ata Time
16,AMST,-3,South America,Amazon Summer Time
17,AMST,5,Asia,"Armenia Summer Time, AMDT - Armenia Daylight Time"
18,AMT,-4,South America,Amazon Time
19,AMT,4,Asia,Armenia Time
20,ANAST,12,Asia,Anadyr Summer Time
21,ANAT,12,Asia,Anadyr Time
22,AQTT,5,Asia,Aqtobe Time
23,ART,-3,"Antarctica, South America",Argentina Time
24,AST,3,Asia,"Arabia Standard Time, AST - Arabic Standard Time, AST - Al Manamah Standard Time"
25,AST,-4,"North America, Atlantic, Caribbean","Atlantic Standard Time, AT - Atlantic Time, AST - Tiempo Estandar del Atlantico (Spanish), HNA - Heure Normale de l'Atlantique (French)"
26,AT,-4,"North America, Atlantic",Atlantic Time
27,AWDT,9,Australia,"Australian Western Daylight Time, WDT - Western Daylight Time, WST - Western Summer Time"
28,AWST,8,Australia,"Australian Western Standard Time, WST - Western Standard Time, WAT - Western Australia Time"
29,AZOST,0,Atlantic,"Azores Summer Time, AZODT - Azores Daylight Time"
30,AZOT,-1,Atlantic,"Azores Time, AZOST - Azores Standard Time"
31,AZST,5,Asia,Azerbaijan Summer Time
32,AZT,4,Asia,Azerbaijan Time
33,AoE,-12,Pacific,Anywhere on Earth
34,B,2,Military,Bravo Time Zone
35,BNT,8,Asia,"Brunei Darussalam Time, BDT - Brunei Time"
36,BOT,-4,South America,Bolivia Time
37,BRST,-2,South America,"Brasilia Summer Time, BST - Brazil Summer Time, BST - Brazilian Summer Time"
38,BRT,-3,South America,"Brasilia Time, BT - Brazil Time, BT - Brazilian Time"
39,BST,6,Asia,Bangladesh Standard Time
40,BST,11,Pacific,Bougainville Standard Time
41,BST,1,Europe,"British Summer Time, BDT - British Daylight Time, BDST - British Daylight Saving Time"
42,BTT,6,Asia,Bhutan Time
43,C,3,Military,Charlie Time Zone
44,CAST,8,Antarctica,Casey Time
45,CAT,2,Africa,Central Africa Time
46,CCT,6.5,Indian Ocean,Cocos Islands Time
47,CDT,-5,North America,"Central Daylight Time, CDST - Central Daylight Saving Time, NACDT - North American Central Daylight Time, HAC - Heure Avancee du Centre (French)"
